videoId,title,description,publishedAt,duration,viewCount,likeCount,commentCount
WTNrF5VTo_U,PBS KIDS is Thankful For Viewers Like You! 💝 | PBS KIDS #Shorts,"Since it's the month of Giving Thanks, we want to show how thankful we are for our friends and viewers like you!

#PBSKIDS #ThankfulForYou #Thanksgiving #GiveThanks #ViewersLikeYou

Ask your parents to subscribe to the @PBSKIDS YouTube channel for more!

To watch EVEN MORE videos, visit https://pbskids.org/videos or download the *FREE* PBS KIDS Video app: https://pbskids.org/apps/pbs-kids-video

To watch and play PBS KIDS Games, ask your parents to subscribe to the @PBSKIDSGames channel, visit https://pbskids.org/games, or download the *FREE* PBS KIDS Games app: https://pbskids.org/apps/play-pbs-kids-games",2025-11-29T20:00:33Z,PT31S,4962,85,0
BMFJTvOXUoY,Search It Up!: Alaska Edition 📱 | Kids Show How They Use Technology Every Day | PBS KIDS,"“Search It Up!” is a series about kids and technology. This Alaska Edition focuses on Alaskan Native kids and how they use language and technology in their everyday lives. Watch as they make robots, tell stories of epic fishing journeys, use the internet in their rural towns, and share their favorite words in Yup’ik and Inupiaq.

#PBSKIDS #SearchItUp #Compilation #Alaska #NativeAmericanHeritageMonth

Video Chapters:
0:00 – 2:50 Robotics!
2:50 – 5:48 The Great Outdoors!
5:48 – 8:54 Getting Connected!
8:54 – 12:54 Let’s Talk!
12:54 – 13:02 PBS KIDS Outro

Robotics!
Alaskan kids in a robotics class talk about how they learn to program kid-made robots to perform challenges and compete in competitions.

The Great Outdoors!
Alaskan kids share outdoor adventures like fishing and how they use their smartphones to find places and capture experiences through photos and videos.

Getting Connected!
Kids in Utquiagvik, Alaska, introduce viewers to the unique ways people living in Alaska connect to the internet and sometimes get disconnected.

Let’s Talk!
Alaska Native kids share words from their Yup’ik and Inupiaq languages as well as different technologies they use to communicate, like walkie-talkies and video calling apps.

Ask your parents to subscribe to the @PBSKIDS YouTube channel for more!

To watch EVEN MORE videos, visit https://pbskids.org/videos or download the *FREE* PBS KIDS Video app: https://pbskids.org/apps/pbs-kids-video

To watch and play PBS KIDS Games, ask your parents to subscribe to the @PBSKIDSGames channel, visit https://pbskids.org/games, or download the *FREE* PBS KIDS Games app: https://pbskids.org/apps/play-pbs-kids-games",2025-11-29T19:00:18Z,PT13M2S,4161,37,0
seV7_CSGAnA,🎶 Grampy Hodie’s karaoke pick 🎶 | Donkey Hodie | PBS KIDS #Shorts,"Grampy Hodie 🎶SINGS🎶 with Donkey and reveals his favorite book. It’s Pal on the Street with Donkey Hodie!

#PBSKIDS #DonkeyHodie #PalOnTheStreet #GrampyHodie #Interview

Ask your parents to subscribe to the @PBSKIDS YouTube channel for more!

To watch EVEN MORE videos, visit https://pbskids.org/videos or download the *FREE* PBS KIDS Video app: https://pbskids.org/apps/pbs-kids-video

To watch and play PBS KIDS Games, ask your parents to subscribe to the @PBSKIDSGames channel, visit https://pbskids.org/games, or download the *FREE* PBS KIDS Games app: https://pbskids.org/apps/play-pbs-kids-games",2025-11-28T20:00:57Z,PT55S,5834,108,0
WraDb2twpuM,"Our Top 5 Ways to Say, ""Thank You!"" 💗 | PBS KIDS #Shorts","Happy Thanksgiving! Check out our list of the Top 5 Ways to Say Thank You, and feel free to take inspiration from your favorite PBS KIDS characters today when you're thanking your loved ones.

#PBSKIDS #Top5 #WaysToSayThankYou #Thanksgiving #GiveThanks

Ask your parents to subscribe to the @PBSKIDS YouTube channel for more!

To watch EVEN MORE videos, visit https://pbskids.org/videos or download the *FREE* PBS KIDS Video app: https://pbskids.org/apps/pbs-kids-video

To watch and play PBS KIDS Games, ask your parents to subscribe to the @PBSKIDSGames channel, visit https://pbskids.org/games, or download the *FREE* PBS KIDS Games app: https://pbskids.org/apps/play-pbs-kids-games",2025-11-27T20:00:34Z,PT2M19S,7420,139,0
uzkJl3PD1kQ,Welcome to Shiprock 🏞️🐦‍⬛ | Molly of Denali: Molly's Epic Adventure | PBS KIDS #Shorts,"Molly and Grandpa Nat arrive in Shiprock, home of the Diné people. There, they meet a new friend, Kevin, and learn about the sacred, ancient Diné mountain.

#PBSKIDS #MollyOfDenali #MollysEpicAdventure #Shiprock #NativeAmericanHeritageMonth

Ask your parents to subscribe to the @PBSKIDS YouTube channel for more!

To watch EVEN MORE videos, visit https://pbskids.org/videos or download the *FREE* PBS KIDS Video app: https://pbskids.org/apps/pbs-kids-video

To watch and play PBS KIDS Games, ask your parents to subscribe to the @PBSKIDSGames channel, visit https://pbskids.org/games, or download the *FREE* PBS KIDS Games app: https://pbskids.org/apps/play-pbs-kids-games",2025-11-26T20:00:53Z,PT1M27S,5055,89,0
KkyWEcr5VsI,Molly of Denali | The Three Sisters 🌿 | PBS KIDS,"Wanting to help Molly, Trini, and Vera work together in a positive way, Gertie shares the traditional Haudenosaunee story of the Three Sisters - Corn, Beans, and Squash - and how they use their unique characteristics to flourish.

#PBSKIDS #MollyOfDenali #ThreeSisters #NativeAmericanHeritageMonth #NativeAmericanCulture

Watch and play more videos and games at https://pbskids.org or download the *FREE* PBS KIDS Video and Games app at https://pbskids.org/apps/",2025-11-26T19:00:18Z,PT1M29S,12279,68,0
Cqel9Xk3oh4,Time To Harvest! 🌾🚜 | Skillsville | PBS KIDS #Shorts,"It's time to practice your harvesting skills! Join Cora, Dev, and Rae as they harvest chilly peppers before the storm comes, and learn how to solve an icy problem. Watch the full Skillsville ""Farmer"" episode on our channel, just in time for the Thanksgiving holiday!

#PBSKIDS #Skillsville #Harvest #Thanksgiving #Farmer #Crops

Ask your parents to subscribe to the @PBSKIDS YouTube channel for more!

To watch EVEN MORE videos, visit https://pbskids.org/videos or download the *FREE* PBS KIDS Video app: https://pbskids.org/apps/pbs-kids-video

To watch and play PBS KIDS Games, ask your parents to subscribe to the @PBSKIDSGames channel, visit https://pbskids.org/games, or download the *FREE* PBS KIDS Games app: https://pbskids.org/apps/play-pbs-kids-games",2025-11-25T20:00:17Z,PT1M40S,6300,94,0
ZrWzSP46Hig,Pinkalicious & Peteriffic | Fairy Thanksgiving Song 🧚‍♀️🎶 | PBS KIDS,"Happy Fairy Thanksgiving to those who celebrate! Join Pinkalicious, Peter, Fairyanna, and the rest of her fairy friends as they sing about the joy of being thankful. Watch the full ""A Fairy Thanksgiving"" Pinkalicious & Peteriffic episode on our channel for more Thanksgiving vibes!

#PBSKIDS #PinkaliciousAndPeteriffic #AFairyThanksgiving #Thanksgiving #KidsSongs #KidsMusic

Watch and play more videos and games at https://pbskids.org or download the *FREE* PBS KIDS Video and Games app at https://pbskids.org/apps/",2025-11-25T19:00:37Z,PT1M29S,5335,49,0
KVLwoMnL-1A,Carl the Collector FULL EPISODE | The Gratitude Collection/Pet Rock Collection ♥️ | PBS KIDS,"Carl and Sheldon are on THANK YOU mission! But, when their good intentions create a traffic jam, will everyone be in the mood for gratitude? / Carl shows his friends the right way to play with pet rocks, but his friends have other ideas.

#PBSKIDS #CarlTheCollector #FullEpisode #TheGratitudeCollection #ThePetRockCollection #Thanksgiving

Ask your parents to subscribe to the @PBSKIDS YouTube channel for more!

To watch EVEN MORE videos, visit https://pbskids.org/videos or download the *FREE* PBS KIDS Video app: https://pbskids.org/apps/pbs-kids-video

To watch and play PBS KIDS Games, ask your parents to subscribe to the @PBSKIDSGames channel, visit https://pbskids.org/games, or download the *FREE* PBS KIDS Games app: https://pbskids.org/apps/play-pbs-kids-games",2025-11-24T20:00:17Z,PT23M34S,15314,96,0
fq78ge51FQQ,"Lead the way, Sacagawea! 🛶 | Xavier Riddle and the Secret Museum | PBS KIDS #Shorts","Learn about Sacagawea this Native American Heritage Month! Even though Sacagawea is smaller than everyone else, she proves that her knowledge, determination, and courage make her a mighty force to be reckoned with.

#PBSKIDS #XavierAndTheSecretMuseum #XavierRiddle #Sacagawea #NativeAmericanHeritageMonth

Ask your parents to subscribe to the @PBSKIDS YouTube channel for more!

To watch EVEN MORE videos, visit https://pbskids.org/videos or download the *FREE* PBS KIDS Video app: https://pbskids.org/apps/pbs-kids-video

To watch and play PBS KIDS Games, ask your parents to subscribe to the @PBSKIDSGames channel, visit https://pbskids.org/games, or download the *FREE* PBS KIDS Games app: https://pbskids.org/apps/play-pbs-kids-games",2025-11-23T20:00:37Z,PT1M11S,8692,119,0
